episode,reward,length
381,-5.0,1
382,26.0,2
383,29.0,5
384,-5.0,1
385,-5.0,1
386,10.0,2
387,13.0,6
388,-5.0,1
389,-5.0,1
390,-5.0,1
391,-5.0,1
392,28.0,3
393,-5.0,1
394,-14.0,2
395,-5.0,1
396,-5.0,1
397,26.0,5
398,24.0,2
399,12.0,3
400,-5.0,1
401,12.0,3
402,27.0,3
403,-5.0,1
404,13.0,4
405,13.0,3
406,-5.0,1
407,26.0,2
408,27.0,3
409,34.0,6
410,12.0,2
411,-5.0,1
412,30.0,7
413,-14.0,2
414,11.0,3
415,13.0,3
416,11.0,2
417,25.0,3
418,12.0,2
419,-14.0,2
420,13.0,5
421,11.0,2
422,-5.0,1
423,8.0,3
424,26.0,2
425,11.0,2
426,-5.0,1
427,26.0,3
428,11.0,2
429,-13.0,2
430,-5.0,1
431,12.0,2
432,-5.0,1
433,29.0,4
434,28.0,3
435,26.0,2
436,17.0,7
437,-5.0,1
438,25.0,2
439,26.0,2
440,26.0,2
441,26.0,2
442,-12.0,3
443,-5.0,1
444,-5.0,1
445,-5.0,1
446,30.0,11
447,-5.0,1
448,-5.0,1
449,-5.0,1
450,-5.0,1
451,28.0,5
452,-5.0,1
453,27.0,3
454,26.0,2
455,26.0,3
456,27.0,6
457,28.0,4
458,-5.0,1
459,-5.0,1
460,12.0,2
461,14.0,4
462,12.0,4
463,27.0,2
464,11.0,2
465,12.0,2
466,-5.0,1
467,-5.0,1
468,31.0,7
469,26.0,2
470,18.0,7
471,26.0,2
472,11.0,2
473,26.0,4
474,-5.0,1
475,-5.0,1
476,-14.0,2
477,-5.0,1
478,29.0,3
479,-5.0,1
480,25.0,4
481,-5.0,1
482,-14.0,2
483,11.0,2
484,-5.0,1
485,11.0,2
486,-5.0,1
487,-5.0,1
488,-5.0,1
489,28.0,4
490,-5.0,1
491,-5.0,1
492,-5.0,1
493,-5.0,1
494,-5.0,1
495,14.0,7
496,-5.0,1
497,17.0,6
498,27.0,4
499,27.0,2
500,-5.0,1
501,11.0,2
502,26.0,2
503,-14.0,2
504,29.0,4
505,-5.0,1
506,-13.0,2
507,-5.0,1
508,-5.0,1
509,-5.0,1
510,28.0,3
511,-5.0,1
512,-5.0,1
513,-5.0,1
514,-5.0,1
515,-5.0,1
516,-5.0,1
517,24.0,2
518,12.0,2
519,11.0,2
520,11.0,2
521,13.0,4
522,-5.0,1
523,-5.0,1
524,24.0,2
525,-5.0,1
526,-5.0,1
527,-5.0,1
528,28.0,3
529,-5.0,1
530,-5.0,1
531,11.0,2
532,13.0,4
533,-5.0,1
534,19.0,7
535,15.0,4
536,-5.0,1
537,-5.0,1
538,-5.0,1
539,-5.0,1
540,11.0,3
541,25.0,2
542,-14.0,2
543,11.0,2
544,-5.0,1
545,-5.0,1
546,27.0,5
547,26.0,2
548,14.0,4
549,16.0,6
550,-13.0,3
551,28.0,3
552,-5.0,1
553,11.0,3
554,-5.0,1
555,-5.0,1
556,-5.0,1
557,27.0,2
558,26.0,2
559,-5.0,1
560,11.0,2
561,25.0,3
562,-5.0,1
563,-5.0,1
564,-5.0,1
565,24.0,2
566,-5.0,1
567,-5.0,1
568,27.0,3
569,-15.0,4
570,-5.0,1
571,13.0,6
572,11.0,2
573,-5.0,1
574,28.0,4
575,-5.0,1
576,-5.0,1
577,10.0,3
578,28.0,3
579,-5.0,1
580,26.0,2
581,-5.0,1
582,9.0,2
583,30.0,4
584,-5.0,1
585,10.0,3
586,-5.0,1
587,13.0,3
588,27.0,3
589,13.0,3
590,14.0,3
591,26.0,2
592,9.0,2
593,14.0,3
594,-6.0,6
595,-13.0,3
596,28.0,4
597,27.0,3
598,-5.0,1
599,27.0,4
600,27.0,2
601,-5.0,1
602,26.0,2
603,-9.0,4
604,-5.0,1
605,-5.0,1
606,17.0,7
607,9.0,2
608,11.0,2
609,-5.0,1
610,27.0,2
611,-5.0,1
612,12.0,5
613,10.0,2
614,-5.0,1
615,26.0,2
616,-5.0,1
617,24.0,2
618,14.0,5
619,-5.0,1
620,11.0,3
621,14.0,5
622,25.0,3
623,12.0,2
624,-14.0,2
625,11.0,2
626,11.0,2
627,14.0,4
628,29.0,5
629,-5.0,1
630,13.0,3
631,28.0,3
632,-15.0,3
633,27.0,3
634,-15.0,2
635,-5.0,1
636,13.0,3
637,27.0,3
638,-11.0,3
639,25.0,2
640,27.0,3
641,11.0,2
642,-5.0,1
643,-5.0,1
644,-5.0,1
645,11.0,2
646,-5.0,1
647,-5.0,1
648,27.0,2
649,-11.0,3
650,28.0,4
651,-5.0,1
652,27.0,3
653,13.0,3
654,9.0,2
655,13.0,4
656,-5.0,1
657,-5.0,1
658,26.0,5
659,28.0,4
660,27.0,4
661,14.0,4
662,32.0,5
663,26.0,2
664,-5.0,1
665,-5.0,1
666,-5.0,1
667,16.0,5
668,26.0,3
669,-5.0,1
670,-5.0,1
671,15.0,6
672,-5.0,1
673,26.0,2
674,12.0,3
675,26.0,2
676,11.0,2
677,-5.0,1
678,-14.0,2
679,-5.0,1
680,12.0,2
681,25.0,2
682,11.0,2
683,14.0,3
684,-5.0,1
685,26.0,4
686,17.0,5
687,29.0,4
688,17.0,6
689,26.0,2
690,29.0,5
691,18.0,10
692,26.0,2
693,10.0,3
694,17.0,7
695,28.0,5
696,-4.0,8
697,-14.0,2
698,26.0,2
699,-5.0,1
700,28.0,3
701,-5.0,1
702,29.0,3
703,30.0,6
704,-15.0,3
705,-5.0,1
706,16.0,5
707,10.0,4
708,-13.0,2
709,29.0,3
710,14.0,3
711,29.0,3
712,26.0,2
713,28.0,3
714,27.0,2
715,27.0,3
716,-5.0,1
717,12.0,2
718,27.0,2
719,14.0,4
720,26.0,3
721,-5.0,1
722,27.0,3
723,-5.0,1
724,12.0,2
725,-5.0,1
726,16.0,4
727,28.0,3
728,25.0,2
729,12.0,8
730,-5.0,1
731,24.0,2
732,12.0,2
733,-5.0,1
734,-5.0,1
735,-5.0,1
736,28.0,3
737,29.0,5
738,25.0,4
739,-5.0,1
740,-13.0,4
741,-5.0,1
742,28.0,3
743,13.0,3
744,25.0,2
745,-8.0,5
746,13.0,3
747,-14.0,2
748,42.0,12
749,25.0,3
750,25.0,3
751,9.0,3
752,-5.0,1
753,16.0,4
754,-13.0,3
755,-5.0,1
756,13.0,3
757,-5.0,1
758,16.0,4
759,-12.0,3
760,25.0,2
761,24.0,2
762,-10.0,5
763,14.0,4
764,11.0,5
765,26.0,5
766,-12.0,3
767,25.0,2
768,-5.0,1
769,-14.0,2
770,-5.0,1
771,27.0,6
772,27.0,2
773,26.0,2
774,11.0,2
775,32.0,5
776,-12.0,3
777,12.0,2
778,10.0,4
779,17.0,8
780,27.0,2
781,-5.0,1
782,26.0,2
783,13.0,3
784,-5.0,1
785,25.0,4
786,28.0,3
787,28.0,5
788,27.0,2
789,29.0,3
790,28.0,3
791,-5.0,1
792,27.0,2
793,-13.0,3
794,29.0,5
795,-5.0,1
796,-10.0,4
797,14.0,3
798,-11.0,4
799,34.0,6
800,36.0,9
801,29.0,3
802,28.0,5
803,15.0,4
804,28.0,3
805,34.0,6
806,12.0,5
807,15.0,4
808,-5.0,1
809,26.0,2
810,-5.0,1
811,32.0,7
812,29.0,3
813,5.0,8
814,13.0,4
815,11.0,2
816,12.0,5
817,27.0,3
818,24.0,2
819,-16.0,4
820,27.0,2
821,27.0,2
822,13.0,3
823,-5.0,1
824,-5.0,1
825,31.0,5
826,22.0,7
827,27.0,3
828,-5.0,1
829,12.0,3
830,12.0,3
831,26.0,2
832,12.0,2
833,25.0,3
834,29.0,4
835,13.0,3
836,-5.0,1
837,-5.0,1
838,16.0,4
839,-5.0,1
840,28.0,3
841,25.0,5
842,-5.0,1
843,24.0,2
844,13.0,3
845,-11.0,7
846,-5.0,1
847,10.0,3
848,-5.0,1
849,-5.0,1
850,15.0,4
851,12.0,8
852,-5.0,1
853,29.0,3
854,-5.0,1
855,28.0,4
856,25.0,3
857,-10.0,4
858,29.0,4
859,31.0,4
860,-20.0,13
861,29.0,3
862,29.0,3
863,-5.0,1
864,-8.0,6
865,14.0,6
866,27.0,7
867,12.0,8
868,11.0,2
869,16.0,5
870,27.0,2
871,33.0,5
872,25.0,3
873,14.0,3
874,28.0,4
875,25.0,4
876,-12.0,3
877,29.0,5
878,-20.0,12
879,-5.0,1
880,27.0,2
881,17.0,5
882,17.0,5
883,14.0,4
884,-5.0,1
885,15.0,5
886,-14.0,2
887,25.0,2
888,-5.0,1
889,31.0,4
890,-14.0,2
891,29.0,3
892,30.0,4
893,-5.0,1
894,11.0,5
895,29.0,4
896,29.0,3
897,24.0,2
898,27.0,2
899,12.0,2
900,27.0,2
901,28.0,3
902,-5.0,1
903,-5.0,1
904,12.0,2
905,10.0,6
906,-5.0,1
907,29.0,4
908,31.0,4
909,13.0,4
910,-5.0,1
911,29.0,3
912,29.0,3
913,-5.0,1
914,-5.0,1
915,16.0,4
916,27.0,2
917,-12.0,12
918,11.0,7
919,18.0,5
920,-5.0,1
921,31.0,5
922,10.0,2
923,30.0,4
924,24.0,2
925,-5.0,1
926,27.0,2
927,12.0,3
928,-9.0,8
929,12.0,7
930,28.0,3
931,11.0,2
932,-7.0,7
933,-5.0,1
934,27.0,2
935,-5.0,1
936,29.0,3
